Sample ID,Habitat,Vegetation,250,254,260,265,272,280,285,300,340,350,365,400,436,465
GB1,Grassland,Bracken Present,0.001826076,0.001752406,0.001650522,0.001592526,0.001487507,0.001382488,0.001307251,0.001089376,0.00068184,0.000600332,0.000496881,0.000344838,0.000263331,0.000230415
GB2,Grassland,Bracken Present,0.000606777,0.000586836,0.000561198,0.000544105,0.000509921,0.00047716,0.000452946,0.000386001,0.000286296,0.000262082,0.000233595,0.000183742,0.00015668,0.00014386
GB3,Grassland,Bracken Present,0.001950307,0.00189216,0.001788436,0.001725574,0.001568418,0.001408119,0.001304396,0.001082806,0.000683629,0.000595622,0.000499756,0.000334743,0.00025145,0.000215304
GB4,Grassland,Bracken Present,0.00137354,0.001335057,0.001273879,0.001241317,0.001169285,0.00110416,0.001054823,0.000927534,0.000652234,0.000584149,0.000496329,0.00032661,0.000236817,0.000202281
GB5,Grassland,Bracken Present,0.001636844,0.001580974,0.001479804,0.001431484,0.001324273,0.001221593,0.001146093,0.000957342,0.000602492,0.000531521,0.000456021,0.000326161,0.000258211,0.000234051
GN10,Grassland,Bracken Absent,0.001076936,0.001035799,0.000974622,0.000937704,0.000864924,0.000803747,0.000755226,0.000626543,0.000388161,0.000335422,0.000275299,0.000181423,0.000130793,0.000110752
GN3,Grassland,Bracken Absent,0.000210089,0.000205232,0.000196731,0.000191873,0.000176086,0.000165157,0.000154834,0.000131154,0.000102009,9.41150759849603e-05,8.37927773285453e-05,6.80057323246164e-05,5.70762396295888e-05,5.10042992434623e-05
GN4,Grassland,Bracken Absent,0.00045995,0.000447159,0.000422643,0.000405588,0.000369346,0.000336302,0.00031445,0.000260621,0.000173747,0.000156159,0.000132176,9.06043308870164e-05,6.87526981436772e-05,5.96922650549755e-05
GN5,Grassland,Bracken Absent,0.000443566,0.000428744,0.000402942,0.000388669,0.000355731,0.000328283,0.000309069,0.000254721,0.000168533,0.000144928,0.000121871,8.78348704435661e-05,6.80720245937637e-05,5.76416337285903e-05
