Sample ID,Habitat,Vegetation,LatitudeN,LongitudeE,Al_mgperg,Zn_mgperg,Mn_mgperg,Mg_mgperg,Ca_mgperg,Na_mgperg,K_mgperg,Nematodespergdrysoil,Veg_richness,Veg_shannon,Veg_simpson,Veg_evenness,TotalCarbon,TotalNitrogen,alpha,Standardized Absorbance (L mg-1 cm-1),pH,Water content as percentage wet soil mass,DOC Concentration (mgCperg),TNb Concentration (mgNperg),CNratio,individualsperm2to10cmdepth,Morphotype_richness,Morphotype_shannon,Morphotype_simpson,Morphotype_evenness,250 Absorbance (L mg-1 cm-1),254 Absorbance (L mg-1 cm-1),260 Absorbance (L mg-1 cm-1),265 Absorbance (L mg-1 cm-1),272 Absorbance (L mg-1 cm-1),280 Absorbance (L mg-1 cm-1),285 Absorbance (L mg-1 cm-1),300 Absorbance (L mg-1 cm-1),340 Absorbance (L mg-1 cm-1),350 Absorbance (L mg-1 cm-1),365 Absorbance (L mg-1 cm-1),400 Absorbance (L mg-1 cm-1),436 Absorbance (L mg-1 cm-1),465 Absorbance (L mg-1 cm-1)
UB1,Heathland,Bracken Present,54.529332,-2.7651358,0.19165043,0.013794635,0.054601335,0.370675407,0.490269908,0.20537942,0.415718184,4.296628776,3,0.687435751,0.395,0.625730986,168.281031,11.25310988,0.013349094,0.002644892,3.73,57.40694729,1.671589136,0.106831317,14.95418003,84.03380995,20,1.549680046,0.58292011,0.517295908,0.002727807,0.002644892,0.002512647,0.002442327,0.002269149,0.002094922,0.001973173,0.001661454,0.00104956,0.000928861,0.00078717,0.000544722,0.000410378,0.000349504
UB10,Heathland,Bracken Present,54.528125,-2.7669211,0.209473847,0.020121852,0.084494101,0.504681845,1.259983664,0.364240577,1.005838355,28.25052078,1,0,0,0,335.8640055,20.67647777,0.015750041,0.002742434,3.78,73.15683703,2.686051685,0.215865587,16.24377272,79.45014759,23,1.739078909,0.621466141,0.554642678,0.002810868,0.002742434,0.002656258,0.002637671,0.002494889,0.00235971,0.002252412,0.001998108,0.001473446,0.001359389,0.001232659,0.00103665,0.000958923,0.000931887
UB4,Heathland,Bracken Present,54.530239,-2.7637775,0.197078921,0.00707649,0.190295408,0.183570631,0.53150098,0.077169814,0.262408505,60.84592703,3,0.722426007,0.420495868,0.657580489,151.7465944,10.58148013,0.013458351,0.001285027,4.33,62.81795104,1.333054433,0.107098332,14.34077205,88.61747231,39,2.853686075,0.891333069,0.778937644,0.001319409,0.001285027,0.00121483,0.00117615,0.001078735,0.000979887,0.00091542,0.000757836,0.000479915,0.000418314,0.000356713,0.000237809,0.000176208,0.000153286
UB6,Heathland,Bracken Present,54.52783,-2.7666683,NA,NA,NA,NA,NA,NA,NA,5.197655593,2,0.653418195,0.4608,0.942683189,206.4997292,11.55028214,0.012613533,0.000688348,3.64,66.33097424,1.830821196,0.114180064,17.8783277,55.00394833,19,1.898462964,0.707475995,0.644762203,0.000701274,0.000688348,0.000656031,0.000638795,0.000591397,0.000549385,0.000518146,0.000448126,0.000316705,0.000285465,0.000248839,0.000183128,0.00014758,0.000132499
UB9,Heathland,Bracken Present,54.529519,-2.7639186,0.206784159,0.009684233,0.190027423,0.382974334,0.635446318,0.107000746,0.466755664,12.51923244,4,0.876645492,0.545303254,0.632366052,148.6424451,9.04715895,0.014132703,0.000958642,3.81,51.47652713,3.580381256,0.100730812,16.42973733,171.1233948,44,2.739772202,0.871262046,0.724004996,0.000990815,0.000958642,0.000909684,0.000872849,0.000793584,0.000715718,0.000662564,0.000545997,0.000326852,0.000280692,0.000224274,0.000132419,8.67254161421178e-05,6.99398517275143e-05
UN1,Heathland,Bracken Absent,54.528751,-2.7660521,0.17853874,0.022658102,0.039516944,0.339351277,0.469940451,0.144600703,0.531990237,30.80114758,3,0.190437554,0.0774,0.173343731,351.6690888,13.19673036,0.016537339,0.001969308,3.84,68.5981468,2.783245572,0.211060974,26.64819841,186.4022693,47,2.794487281,0.898951895,0.725813026,0.002019972,0.001969308,0.001890741,0.001857699,0.001738013,0.001608048,0.00151553,0.001265144,0.00079301,0.000704898,0.000599897,0.000425141,0.000326015,0.000281959
UN10,Heathland,Bracken Absent,54.526331,-2.7734697,0.168737201,0.029882001,0.071512563,0.436938981,0.6410413,0.137047092,0.538833515,31.47264779,2,0.693147181,0.5,1,331.7458611,15.33732869,0.012489296,0.001159943,3.93,69.67063398,3.17489556,0.259245516,21.62996359,215.9414268,27,1.779677698,0.660755607,0.539977484,0.001189141,0.001159943,0.001118138,0.001086949,0.001009974,0.000927689,0.000870621,0.00072596,0.0004519,0.000394168,0.000324492,0.00020372,0.000142007,0.000118781
UN3,Heathland,Bracken Absent,54.52722,-2.7721577,0.029870036,0.029907262,0.064657405,0.512390264,1.261238719,0.196327257,0.464483734,92.33247109,3,0.195670035,0.0776,0.178106541,471.3171735,15.26114774,0.012672619,0.001677189,3.7,79.03467985,2.863402789,0.097207004,30.88346836,189.4580443,50,3.255612278,0.940272157,0.832206834,0.001729117,0.001677189,0.00159793,0.001569689,0.001487697,0.001397506,0.001326446,0.001119644,0.000769812,0.000716062,0.000655935,0.000570299,0.000505616,0.000465532
UN7,Heathland,Bracken Absent,54.527806,-2.7676568,0.104194295,0.03808345,0.070533009,0.54601372,1.285051344,0.214828758,0.609108766,54.9732242,3,0.111902057,0.0394,0.101857642,443.6819464,15.21714328,0.013777043,0.000275585,3.71,74.05851709,6.160814777,0.124001441,29.15671742,106.9521218,32,2.770788797,0.911882086,0.799480651,0.000281097,0.000275585,0.000265297,0.000258683,0.000238841,0.000219366,0.000205035,0.000167923,0.000106927,9.18617810897012e-05,7.78987903640666e-05,5.03402560371563e-05,3.67447124358805e-05,3.1967899819216e-05
UN8,Heathland,Bracken Absent,54.526754,-2.7733232,NA,NA,NA,NA,NA,NA,NA,159.3131498,2,0.325082973,0.18,0.468995594,457.938021,15.56284617,0.015935746,0.000344531,3.67,78.4346517,3.276582543,0.107246615,29.42508176,65.69916051,26,2.922250477,0.933838111,0.896919549,0.000351562,0.000344531,0.000335937,0.000327344,0.000305469,0.000278125,0.000260937,0.0002125,0.000146094,0.000132031,0.000116406,8.82812493103027e-05,7.65624994018555e-05,7.18749994384766e-05
